,brand,device_name,model,color,ram,rom,is_5g,processor_brand,processor,display_size,frontcamera,backcamera,battery,price,ratings
605,Infinix,Infinix Zero 40 5G , Zero 40 5G ,Moving Titanium,12,256,True,Mediatek,Mediatek Dimensity 8200 Ultimate ,6.78 , 50MP ,108MP + 50MP + 2MP ,5000,25999,960
606,Poco,Poco X6 Pro 5G , X6 Pro 5G ,Yellow,8,256,True,Mediatek,Mediatek Dimensity D8300 Ultra ,6.67 , 16MP ,64MP + 8MP + 2MP ,5000,19999,20185
607,Realme,Realme 12 Pro+ 5G , 12 Pro+ 5G ,Navigator Beige,8,256,True,Snapdragon,Snapdragon 7s Gen 2 ,6.7 , 32MP ,50MP + 8MP + 64MP ,5000,24999,25348
609,Redmi,Redmi Note 14 Pro 5G , Note 14 Pro 5G ,Phantom Purple,8,128,True,Mediatek,Mediatek Dimensity 7300 Ultra ,6.67 , 20MP ,50MP + 8MP + 2MP ,5500,24999,1219
611,Redmi,Redmi Note 14 Pro 5G , Note 14 Pro 5G ,Ivy Green,8,128,True,Mediatek,Mediatek Dimensity 7300 Ultra ,6.67 , 20MP ,50MP + 8MP + 2MP ,5500,24999,1219
612,Samsung,Samsung Galaxy A15 5G , Galaxy A15 5G ,Light Blue,8,128,True,Mediatek,Mediatek Dimensity 6100+ ,6.5 , 13MP ,50MP + 5MP + 2MP ,5000,17900,3431
613,Google,Google Pixel 7a , Pixel 7a ,Sea,8,128,False,Unisoc,Unisoc Tensor G2 ,6.1 , 13MP ,64MP (OIS) + 13MP ,4300,31999,25452
615,Google,Google Pixel 9 Pro , Pixel 9 Pro ,Rose Quartz,16,256,False,Unisoc,Unisoc G4 Tensor Chip ,6.3 , 42MP ,50MP + 48MP + 48MP ,4700,109999,252
616,Oppo,Oppo A3 Pro 5G , A3 Pro 5G ,Starry Black,8,256,True,Mediatek,Mediatek Dimensity 6300 5G Mobile Platform ,6.67 , 8MP ,50MP + 2MP ,5100,19999,1623
617,Vivo,Vivo T2x 5G , T2x 5G ,Glimmer Black,6,128,True,Mediatek,Mediatek Dimensity 6020 ,6.58 , 8MP ,50MP + 2MP ,5000,15999,447811
618,Poco,Poco X6 Pro 5G , X6 Pro 5G ,Yellow,12,512,True,Mediatek,Mediatek Dimensity D8300 Ultra ,6.67 , 16MP ,64MP + 8MP + 2MP ,5000,28999,15575
619,Samsung,Samsung Galaxy S24 Ultra 5G , Galaxy S24 Ultra 5G ,Titanium Gray,12,256,True,Snapdragon,Snapdragon 8 Gen 3 ,6.8 , 12MP ,200MP + 50MP + 12MP + 10MP ,5000,134999,2553
620,Poco,Poco F6 5G , F6 5G ,Black,12,512,True,Snapdragon,Snapdragon 8s Gen3 ,6.67 , 20MP ,50MP (OIS) + 8MP ,5000,33999,5719
622,Samsung,Samsung Galaxy A16 5G , Galaxy A16 5G ,Blue Black,8,128,True,Mediatek,Mediatek Dimensity 6300 ,6.7 , 13MP ,50MP + 5MP + 2MP ,5000,16434,875
623,Google,Google Pixel 9 Pro , Pixel 9 Pro ,Porcelain,16,256,False,Unisoc,Unisoc G4 Tensor Chip ,6.3 , 42MP ,50MP + 48MP + 48MP ,4700,109999,252
624,Realme,Realme P1 Pro 5G , P1 Pro 5G ,Parrot Blue,8,128,True,Snapdragon,Snapdragon 6 Gen 1 ,6.7 , 16MP ,50MP + 8MP ,5000,15999,28859
625,Samsung,Samsung Galaxy Z Flip5 Special Edition , Galaxy Z Flip5 Special Edition ,Yellow,8,256,False,Snapdragon,  Snapdragon 8 Gen 2 (4 nm) ,6.7 , 10MP ,12MP + 12MP ,3700,60480,9
626,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
628,Google,Google Pixel 9 Pro , Pixel 9 Pro ,Rose Quartz,16,256,False,Unisoc,Unisoc G4 Tensor Chip ,6.3 , 42MP ,50MP + 48MP + 48MP ,4700,109999,252
629,Vivo,Vivo Y28s 5G , Y28s 5G ,Twinkling Purple,4,128,True,Mediatek,Mediatek Dimensity 6300 ,6.56 , 8MP ,50MP + 0.08MP ,5000,12999,195
630,Poco,Poco F6 5G , F6 5G ,Black,12,512,True,Snapdragon,Snapdragon 8s Gen3 ,6.67 , 20MP ,50MP (OIS) + 8MP ,5000,33999,5719
631,Poco,Poco C51 , C51 ,Power Black,6,128,False,Mediatek,Mediatek Helio G36 ,6.52 , 5MP ,8MP Rear Camera ,5000,8999,12919
634,Oppo,Oppo Reno13 Pro 5G , Reno13 Pro 5G ,Graphite Grey,12,256,True,Mediatek,Mediatek Dimensity 8350 ,6.83 , 50MP ,50MP + 50MP + 8MP ,5800,49999,237
